"StandardName","Name","Abbreviation","AtomicNumber","AtomicWeight","Block","Group","Period","Series"
"Iodine","iodine","I",53,126.90447,"p",17,5,"Halogen"
"Xenon","xenon","Xe",54,131.293,"p",18,5,"NobleGas"
"Cesium","cesium","Cs",55,132.90545196,"s",1,6,"AlkaliMetal"
"Barium","barium","Ba",56,137.327,"s",2,6,"AlkalineEarthMetal"
"Lanthanum","lanthanum","La",57,138.90547,"f","NA",6,"Lanthanide"
"Cerium","cerium","Ce",58,140.116,"f","NA",6,"Lanthanide"
"Praseodymium","praseodymium","Pr",59,140.90766,"f","NA",6,"Lanthanide"
"Neodymium","neodymium","Nd",60,144.242,"f","NA",6,"Lanthanide"
"Promethium","promethium","Pm",61,145.0,"f","NA",6,"Lanthanide"
"Samarium","samarium","Sm",62,150.36,"f","NA",6,"Lanthanide"
"Europium","europium","Eu",63,151.964,"f","NA",6,"Lanthanide"
"Gadolinium","gadolinium","Gd",64,157.25,"f","NA",6,"Lanthanide"
"Terbium","terbium","Tb",65,158.92535,"f","NA",6,"Lanthanide"
"Dysprosium","dysprosium","Dy",66,162.5,"f","NA",6,"Lanthanide"
"Holmium","holmium","Ho",67,164.93033,"f","NA",6,"Lanthanide"
"Erbium","erbium","Er",68,167.259,"f","NA",6,"Lanthanide"
"Thulium","thulium","Tm",69,168.93422,"f","NA",6,"Lanthanide"
"Ytterbium","ytterbium","Yb",70,173.045,"f","NA",6,"Lanthanide"
"Lutetium","lutetium","Lu",71,174.9668,"d",3,6,"TransitionMetal"
"Hafnium","hafnium","Hf",72,178.49,"d",4,6,"TransitionMetal"
"Tantalum","tantalum","Ta",73,180.94788,"d",5,6,"TransitionMetal"
"Tungsten","tungsten","W",74,183.84,"d",6,6,"TransitionMetal"
"Rhenium","rhenium","Re",75,186.207,"d",7,6,"TransitionMetal"
"Osmium","osmium","Os",76,190.23,"d",8,6,"TransitionMetal"
"Iridium","iridium","Ir",77,192.217,"d",9,6,"TransitionMetal"
"Platinum","platinum","Pt",78,195.084,"d",10,6,"TransitionMetal"
"Gold","gold","Au",79,196.966569,"d",11,6,"TransitionMetal"
"Mercury","mercury","Hg",80,200.592,"d",12,6,"TransitionMetal"
"Thallium","thallium","Tl",81,204.38,"p",13,6,"PoorMetal"
"Lead","lead","Pb",82,207.2,"p",14,6,"PoorMetal"
"Bismuth","bismuth","Bi",83,208.9804,"p",15,6,"PoorMetal"
"Polonium","polonium","Po",84,209.0,"p",16,6,"Chalcogen"
"Astatine","astatine","At",85,210.0,"p",17,6,"Halogen"
"Radon","radon","Rn",86,222.0,"p",18,6,"NobleGas"
"Francium","francium","Fr",87,223.0,"s",1,7,"AlkaliMetal"
"Radium","radium","Ra",88,226.0,"s",2,7,"AlkalineEarthMetal"
"Actinium","actinium","Ac",89,227.0,"f","NA",7,"Actinide"
"Thorium","thorium","Th",90,232.0377,"f","NA",7,"Actinide"
"Protactinium","protactinium","Pa",91,231.03588,"f","NA",7,"Actinide"
"Uranium","uranium","U",92,238.02891,"f","NA",7,"Actinide"
"Neptunium","neptunium","Np",93,237.0,"f","NA",7,"Actinide"
"Plutonium","plutonium","Pu",94,244.0,"f","NA",7,"Actinide"
"Americium","americium","Am",95,243.0,"f","NA",7,"Actinide"
"Curium","curium","Cm",96,247.0,"f","NA",7,"Actinide"
"Berkelium","berkelium","Bk",97,247.0,"f","NA",7,"Actinide"
"Californium","californium","Cf",98,251.0,"f","NA",7,"Actinide"
"Einsteinium","einsteinium","Es",99,252.0,"f","NA",7,"Actinide"
"Fermium","fermium","Fm",100,257.0,"f","NA",7,"Actinide"
"Mendelevium","mendelevium","Md",101,258.0,"f","NA",7,"Actinide"
"Nobelium","nobelium","No",102,259.0,"f","NA",7,"Actinide"
"Lawrencium","lawrencium","Lr",103,262.0,"d",3,7,"TransitionMetal"
"Rutherfordium","rutherfordium","Rf",104,267.0,"d",4,7,"TransitionMetal"
"Dubnium","dubnium","Db",105,270.0,"d",5,7,"TransitionMetal"
"Seaborgium","seaborgium","Sg",106,269.0,"d",6,7,"TransitionMetal"
"Bohrium","bohrium","Bh",107,270.0,"d",7,7,"TransitionMetal"
"Hassium","hassium","Hs",108,270.0,"d",8,7,"TransitionMetal"
"Meitnerium","meitnerium","Mt",109,278.0,"d",9,7,"TransitionMetal"
"Darmstadtium","darmstadtium","Ds",110,281.0,"d",10,7,"TransitionMetal"
"Roentgenium","roentgenium","Rg",111,281.0,"d",11,7,"TransitionMetal"
"Copernicium","copernicium","Cn",112,285.0,"d",12,7,"TransitionMetal"
"Nihonium","nihonium","Nh",113,286.0,"p",13,7,"PoorMetal"
"Flerovium","flerovium","Fl",114,289.0,"p",14,7,"PoorMetal"
"Moscovium","moscovium","Mc",115,289.0,"p",15,7,"PoorMetal"
"Livermorium","livermorium","Lv",116,293.0,"p",16,7,"PoorMetal"
"Tennessine","tennessine","Ts",117,293.0,"p",17,7,"Halogen"
"Oganesson","oganesson","Og",118,294.0,"p",18,7,"NobleGas"
